2014-04-16 20:35:57 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2014-04-16 20:35:57 install libaudit1:amd64 <none> 1:2.3.2-2ubuntu1
2014-04-16 20:35:57 status half-installed libaudit1:amd64 1:2.3.2-2ubuntu1
2014-04-16 20:35:57 status unpacked libaudit1:amd64 1:2.3.2-2ubuntu1
2014-04-16 20:35:57 status unpacked libaudit1:amd64 1:2.3.2-2ubuntu1
2014-04-16 20:35:57 install libblkid1:amd64 <none> 2.20.1-5.1ubuntu20
2014-04-16 20:35:57 status half-installed libblkid1:amd64 2.20.1-5.1ubuntu20
2014-04-16 20:35:57 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu20
2014-04-16 20:35:57 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu20
2014-04-16 20:35:57 install libbz2-1.0:amd64 <none> 1.0.6-5
2014-04-16 20:35:57 status half-installed libbz2-1.0:amd64 1.0.6-5
2014-04-16 20:35:57 status unpacked libbz2-1.0:amd64 1.0.6-5
2014-04-16 20:35:57 status unpacked libbz2-1.0:amd64 1.0.6-5
2014-04-16 20:35:57 install libc-bin:amd64 <none> 2.19-0ubuntu6
2014-04-16 20:35:57 status half-installed libc-bin:amd64 2.19-0ubuntu6
2014-04-16 20:35:57 status unpacked libc-bin:amd64 2.19-0ubuntu6
2014-04-16 20:35:57 status unpacked libc-bin:amd64 2.19-0ubuntu6
2014-04-16 20:35:57 upgrade libc6:amd64 2.19-0ubuntu6 2.19-0ubuntu6
2014-04-16 20:35:57 status half-configured libc6:amd64 2.19-0ubuntu6
2014-04-16 20:35:57 status unpacked libc6:amd64 2.19-0ubuntu6
2014-04-16 20:35:57 status half-installed libc6:amd64 2.19-0ubuntu6
2014-04-16 20:35:58 status half-installed libc6:amd64 2.19-0ubuntu6
2014-04-16 20:35:58 status unpacked libc6:amd64 2.19-0ubuntu6
2014-04-16 20:35:58 status unpacked libc6:amd64 2.19-0ubuntu6
2014-04-16 20:35:58 install libcap2:amd64 <none> 1:2.24-0ubuntu2
